"mnth","hr","holiday","weekday","weathersit","temp","atemp","humidity","windspeed","total"
"Jan","12 AM","No","Saturday","Good",37.904,37.40252,81,0,16
"Jan","1 AM","No","Saturday","Good",36.212,35.59676,80,0,40
"Jan","2 AM","No","Saturday","Good",36.212,35.59676,80,0,32
"Jan","4 AM","No","Saturday","Good",37.904,37.40252,75,0,1
"Jan","8 AM","No","Saturday","Good",37.904,37.40252,75,0,8
"Jan","11 AM","No","Saturday","Good",48.056,42.79604,81,19.0012,56
"Jan","12 PM","No","Saturday","Good",53.132,53.59496,77,19.0012,84
"Jan","1 PM","No","Saturday","Fair",56.516,57.1946,72,19.9995,94
"Jan","2 PM","No","Saturday","Fair",56.516,57.1946,72,19.0012,106
"Jan","3 PM","No","Saturday","Fair",54.824,55.40072,77,19.9995,110
"Jan","4 PM","No","Saturday","Fair",53.132,53.59496,82,19.9995,93
"Jan","5 PM","No","Saturday","Fair",54.824,55.40072,82,19.0012,67
"Jan","6 PM","No","Saturday","Bad",53.132,53.59496,88,16.9979,35
"Jan","7 PM","No","Saturday","Bad",53.132,53.59496,88,16.9979,37
"Jan","8 PM","No","Saturday","Fair",51.44,51.80108,87,16.9979,36
"Jan","9 PM","No","Saturday","Fair",51.44,51.80108,87,12.998,34
"Jan","10 PM","No","Saturday","Fair",51.44,51.80108,94,15.0013,28
"Jan","11 PM","No","Saturday","Fair",56.516,57.1946,88,19.9995,39
"Jan","12 AM","No","Sunday","Fair",56.516,57.1946,88,19.9995,17
"Jan","1 AM","No","Sunday","Fair",54.824,55.40072,94,16.9979,17
"Jan","2 AM","No","Sunday","Fair",53.132,53.59496,100,19.0012,9
"Jan","3 AM","No","Sunday","Fair",56.516,57.1946,94,12.998,6
"Jan","4 AM","No","Sunday","Fair",56.516,57.1946,94,12.998,3
"Jan","6 AM","No","Sunday","Bad",53.132,53.59496,77,19.9995,2
"Jan","7 AM","No","Sunday","Fair",51.44,51.80108,76,12.998,1
"Jan","8 AM","No","Sunday","Bad",51.44,51.80108,71,15.0013,8
"Jan","9 AM","No","Sunday","Fair",49.748,49.99532,76,15.0013,20
"Jan","10 AM","No","Sunday","Fair",48.056,44.6018,81,15.0013,53
"Jan","11 AM","No","Sunday","Fair",48.056,42.79604,71,16.9979,70
"Jan","12 PM","No","Sunday","Fair",48.056,42.79604,66,19.9995,93
"Jan","1 PM","No","Sunday","Fair",48.056,44.6018,66,8.9981,75
"Jan","3 PM","No","Sunday","Bad",46.364,42.79604,81,11.0014,74
"Jan","5 PM","No","Sunday","Good",46.364,42.79604,57,12.998,65
"Jan","6 PM","No","Sunday","Fair",48.056,42.79604,46,22.0028,53
"Jan","7 PM","No","Sunday","Good",44.672,37.40252,42,30.0026,30
"Jan","8 PM","No","Sunday","Good",42.98,35.59676,39,23.9994,22
"Jan","10 PM","No","Sunday","Good",37.904,28.39748,44,19.9995,9
"Jan","11 PM","No","Sunday","Good",36.212,30.20324,47,11.0014,8
"Jan","12 AM","No","Monday","Good",36.212,26.6036,44,23.9994,5
"Jan","1 AM","No","Monday","Good",34.52,23.00396,44,27.9993,2
"Jan","5 AM","No","Monday","Good",31.136,19.40432,47,19.0012,3
"Jan","6 AM","No","Monday","Good",29.444,15.80468,50,26.0027,30
"Jan","8 AM","No","Monday","Good",29.444,17.59856,50,19.0012,154
"Jan","9 AM","No","Monday","Good",31.136,19.40432,43,26.0027,88
"Jan","10 AM","No","Monday","Good",32.828,23.00396,43,16.9979,44
"Jan","11 AM","No","Monday","Good",34.52,24.79784,40,22.0028,51
"Jan","12 PM","No","Monday","Good",36.212,28.39748,35,19.9995,61
"Jan","1 PM","No","Monday","Good",37.904,28.39748,35,19.0012,61
